Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average GRN	Signal Average RED	Signal P05 GRN	Signal P05 RED	Signal P25 GRN	Signal P25 RED	Signal P50 GRN	Signal P50 RED	Signal P75 GRN	Signal P75 RED	Signal P95 GRN	Signal P95 RED
1	Hela_1	Hela	Hela	1	27571	27572	6032.731	3968.032	0.00	0.00	343	330	941	617	8394	2075	27229	23051
2	Hela_2	Hela	Hela	2	27573	27574	6732.99	3863.289	0.00	0.00	359	327	1002	586	9288	1899	30716	22657
3	Raji_1	Raji	Raji	1	27528	27548	6082.553	3778.055	0.00	0.00	614	569	1228	911	7691	2150	27401	21009
4	Raji_2	Raji	Raji	2	27568	27577	6632.926	3756.684	0.00	0.00	510	463	1179	750	8460	1944	30422	21667
5	Jurkat_1	Jurkat	Jurkat	1	27534	27545	6828.716	3911.746	0.00	0.00	519	458	1227	766	8717	2081	30918	22437
6	Jurkat_2	Jurkat	Jurkat	2	27514	27529	7014.263	3903.508	0.00	0.00	449	411	1175	695	9040	2026	31989	22589
7	A431_1	A431	A431	1	27575	27576	6763.988	3758.975	0.00	0.00	426	357	1088	616	10578	2192	29410	20948
8	A431_2	A431	A431	2	27575	27576	6633.289	3840.406	0.00	0.00	409	382	1063	645	10428	2284	28832	21356
9	K562_1	K562	K562	1	27530	27538	6425.563	3720.365	0.00	0.00	400	379	995	639	9058	1775	29100	21597
10	K562_2	K562	K562	2	27535	27543	6547.497	3736.386	0.00	0.00	405	413	1015	675	9282	1819	29531	21463
11	MCF7_1	MCF7	MCF7	1	27540	27553	6116.299	3542.79	0.00	0.00	391	365	974	620	6894	1641	29146	21223
12	MCF7_2	MCF7	MCF7	2	27506	27530	6098.113	3268.938	0.00	0.00	442	427	1021	677	6829	1586	28926	19222
